neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
East Region,Bedok,1.3091,103.91144,1.0,169,0.6931471805599453,0.6931471805599453,0.06765864847381481,0.9808219178082191
East Region,Bedok,1.30838,103.91166,1.0,169,0.6931471805599453,0.6931471805599453,0.11332868530700317,0.9808219178082191
East Region,Bedok,1.30825,103.91294,1.0,169,0.6931471805599453,0.0,0.0,0.9780821917808219
East Region,Bedok,1.30923,103.91237,1.0,144,0.6931471805599453,1.0986122886681096,0.26236426446749106,0.9753424657534246
East Region,Bedok,1.30935,103.91164,1.0,125,0.6931471805599453,1.0986122886681096,0.13976194237515868,0.9972602739726028
East Region,Bedok,1.30974,103.91282,1.0,144,0.6931471805599453,0.0,0.0,0.9780821917808219
Central Region,Kallang,1.32156,103.86186,1.0,58,0.6931471805599453,2.772588722239781,0.6259384308664953,0.4712328767123288
North Region,Sungei Kadut,1.4055,103.75747,0.0,290,0.6931471805599453,0.0,0.0,0.9972602739726028
Central Region,Kallang,1.30347,103.88134,1.0,300,0.6931471805599453,0.0,0.0,1.0
North Region,Woodlands,1.43089,103.7943,1.0,44,3.4339872044851463,0.6931471805599453,0.058268908123975775,0.9945205479452055
Central Region,Kallang,1.31198,103.87489,1.0,319,0.6931471805599453,0.0,0.0,1.0
East Region,Bedok,1.31291,103.94232,1.0,300,0.6931471805599453,0.0,0.0,1.0
Central Region,Geylang,1.3112,103.87873,2.0,179,0.6931471805599453,3.6375861597263857,1.1600209167967532,0.40821917808219177
East Region,Bedok,1.3096,103.91133,1.0,144,0.6931471805599453,0.0,0.0,0.9808219178082191
East Region,Bedok,1.30911,103.91132,1.0,144,0.6931471805599453,0.0,0.0,0.9808219178082191
East Region,Bedok,1.30856,103.91127,1.0,94,0.6931471805599453,0.0,0.0,0.9808219178082191
East Region,Bedok,1.30794,103.91297,1.0,94,0.6931471805599453,2.1972245773362196,0.4382549309311553,0.9808219178082191
East Region,Bedok,1.30931,103.91175,1.0,81,0.6931471805599453,1.0986122886681096,0.26236426446749106,0.9972602739726028
East Region,Bedok,1.30835,103.91107,1.0,94,0.6931471805599453,0.0,0.0,0.9808219178082191
East Region,Bedok,1.30998,103.91298,1.0,94,0.6931471805599453,0.0,0.0,0.9780821917808219
East Region,Bedok,1.3099,103.91089,1.0,90,0.6931471805599453,1.6094379124341003,0.2151113796169455,0.9808219178082191
East Region,Bedok,1.30787,103.913,1.0,90,0.6931471805599453,2.9444389791664403,0.7323678937132266,0.9753424657534246
