neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
North Region,Woodlands,1.44246,103.79667,1.0,69,1.9459101490553132,3.044522437723423,0.18232155679395462,1.0
East Region,Tampines,1.34541,103.95712,1.0,206,0.6931471805599453,2.70805020110221,0.13976194237515868,0.9671232876712329
East Region,Tampines,1.34567,103.95963,1.0,94,0.6931471805599453,3.1354942159291497,0.1988508587451652,0.9726027397260274
East Region,Tampines,1.34702,103.96103,1.0,104,0.6931471805599453,3.6888794541139363,0.32208349916911333,0.947945205479452
East Region,Tampines,1.34348,103.96337,1.0,208,0.6931471805599453,3.258096538021482,0.22314355131420976,0.4712328767123288
Central Region,Bukit Merah,1.28875,103.80814,1.0,44,2.772588722239781,2.9444389791664403,0.20701416938432615,0.9068493150684932
Central Region,Bukit Merah,1.28837,103.81099,1.0,40,3.4339872044851463,2.3978952727983707,0.10436001532424277,0.7561643835616438
Central Region,Bukit Merah,1.28976,103.80896,1.0,44,3.4339872044851463,2.639057329615259,0.13976194237515868,0.9315068493150686
Central Region,Bukit Merah,1.28677,103.81244,1.0,40,3.4339872044851463,2.3978952727983707,0.1310282624064041,0.9068493150684932
East Region,Tampines,1.34943,103.95951,1.0,49,1.0986122886681096,3.828641396489095,0.4054651081081644,0.9780821917808219
East Region,Tampines,1.34838,103.9592,1.0,104,0.6931471805599453,2.833213344056216,0.173953307123438,0.821917808219178
West Region,Jurong West,1.34135,103.71139,1.0,53,1.0986122886681096,3.1780538303479458,0.23901690047049992,0.9452054794520548
Central Region,Bukit Timah,1.33171,103.79383,2.0,276,1.6094379124341003,2.4849066497880004,0.12221763272424921,0.9917808219178083
Central Region,Queenstown,1.30901,103.79639,0.0,208,0.6931471805599453,0.0,0.0,0.0
North-East Region,Serangoon,1.35001,103.87161,1.0,44,0.6931471805599453,3.6109179126442243,0.36464311358790924,0.0
East Region,Pasir Ris,1.37527,103.94562,1.0,206,0.6931471805599453,0.0,0.0,0.0
North-East Region,Punggol,1.39963,103.9064,1.0,167,0.6931471805599453,0.0,0.0,1.0
Central Region,Queenstown,1.28342,103.78585,1.0,128,1.3862943611198906,0.0,0.0,1.0
Central Region,Bukit Merah,1.28909,103.80749,1.0,40,3.4339872044851463,2.639057329615259,0.15700374880966475,0.9068493150684932
Central Region,Marine Parade,1.30529,103.9042,2.0,300,1.0986122886681096,3.6375861597263857,0.3784364357202451,0.6054794520547945
Central Region,Tanglin,1.29839,103.82808,2.0,200,4.110873864173311,2.302585092994046,0.10436001532424277,0.915068493150685
East Region,Bedok,1.31313,103.91479,1.0,278,0.6931471805599453,0.0,0.0,1.0
Central Region,Bukit Merah,1.27681,103.82381,1.0,150,0.6931471805599453,1.0986122886681096,0.04879016416943201,0.5698630136986301
North-East Region,Hougang,1.37037,103.90052,1.0,42,3.4339872044851463,3.044522437723423,0.22314355131420976,0.989041095890411
North-East Region,Hougang,1.36775,103.89855,1.0,40,3.4339872044851463,2.3978952727983707,0.11332868530700317,0.7342465753424657
Central Region,Novena,1.31314,103.84081,2.0,243,1.791759469228055,2.70805020110221,0.173953307123438,0.3917808219178082
Central Region,Geylang,1.31525,103.88176,1.0,35,2.9444389791664403,1.9459101490553132,0.13976194237515868,0.9835616438356164
North-East Region,Serangoon,1.36885,103.8731,1.0,65,0.6931471805599453,3.258096538021482,0.3435897043900769,0.9287671232876712
Central Region,Downtown Core,1.27529,103.84494,2.0,219,4.110873864173311,1.9459101490553132,0.07696104113612832,0.9589041095890412
Central Region,Outram,1.28491,103.84209,1.0,60,3.367295829986474,1.9459101490553132,0.14842000511827327,0.9123287671232877
North-East Region,Punggol,1.39877,103.90248,1.0,76,0.6931471805599453,1.0986122886681096,1.0986122886681096,1.0
North-East Region,Hougang,1.37369,103.87847,1.0,35,3.4965075614664802,1.9459101490553132,0.11332868530700317,0.9287671232876712
West Region,Bukit Panjang,1.38123,103.76874,1.0,49,1.3862943611198906,2.772588722239781,0.18232155679395462,0.3589041095890411
North-East Region,Hougang,1.36764,103.90228,1.0,31,3.4339872044851463,4.110873864173311,0.5766133643039938,0.6164383561643836
East Region,Bedok,1.33729,103.9298,1.0,72,1.0986122886681096,0.6931471805599453,0.0295588022415444,0.9863013698630138
Central Region,Kallang,1.31135,103.85946,1.0,49,2.9444389791664403,1.0986122886681096,0.04879016416943201,0.9863013698630138
Central Region,Marine Parade,1.29891,103.88681,2.0,190,2.302585092994046,3.4011973816621555,0.3293037471426004,0.7589041095890411
Central Region,Tanglin,1.31693,103.82636,2.0,319,2.0794415416798357,3.7612001156935624,0.4762341789963716,0.904109589041096
Central Region,Tanglin,1.31503,103.82614,2.0,149,2.0794415416798357,3.4011973816621555,0.35065687161316933,0.0
Central Region,Tanglin,1.31507,103.82704,2.0,240,2.0794415416798357,3.4011973816621555,0.3435897043900769,0.9315068493150686
Central Region,Marine Parade,1.31,103.90321,1.0,137,1.9459101490553132,2.3978952727983707,0.1310282624064041,0.0
Central Region,Kallang,1.31213,103.8561,1.0,56,2.9444389791664403,0.6931471805599453,0.0295588022415444,0.9095890410958904
Central Region,Queenstown,1.29201,103.76936,1.0,60,1.791759469228055,2.0794415416798357,0.09531017980432487,0.0
Central Region,Queenstown,1.29213,103.76913,0.0,50,1.791759469228055,2.4849066497880004,0.23901690047049992,0.9397260273972603
Central Region,Tanglin,1.30768,103.82017,1.0,104,1.791759469228055,3.9512437185814275,0.5822156198526637,0.20273972602739726
Central Region,Kallang,1.30774,103.86332,1.0,40,2.9444389791664403,2.1972245773362196,0.12221763272424921,0.9835616438356164
Central Region,Kallang,1.30844,103.85875,1.0,76,1.791759469228055,3.1354942159291497,0.3987761199573678,0.18356164383561643
Central Region,Kallang,1.31118,103.87367,2.0,131,2.70805020110221,0.0,0.0,1.0
Central Region,Orchard,1.30341,103.83365,2.0,300,1.0986122886681096,2.302585092994046,0.173953307123438,0.9561643835616438
Central Region,Marine Parade,1.30415,103.90192,1.0,165,1.0986122886681096,3.332204510175204,0.3293037471426004,0.6109589041095891
North-East Region,Ang Mo Kio,1.39088,103.85303,1.0,217,0.6931471805599453,0.0,0.0,1.0
West Region,Bukit Batok,1.34126,103.75992,1.0,82,2.70805020110221,0.0,0.0,1.0
Central Region,Rochor,1.30292,103.858,1.0,90,0.6931471805599453,1.0986122886681096,0.07696104113612832,0.6383561643835617
Central Region,Novena,1.32389,103.84872,1.0,131,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0
Central Region,Outram,1.28446,103.8446,0.0,300,0.6931471805599453,1.0986122886681096,0.039220713153281295,0.7534246575342466
Central Region,Museum,1.29857,103.84748,2.0,194,2.70805020110221,2.4849066497880004,0.16551443847757338,0.8246575342465754
Central Region,Outram,1.28459,103.84217,1.0,56,2.9444389791664403,1.3862943611198906,0.07696104113612832,0.9753424657534246
Central Region,Newton,1.30626,103.83994,1.0,85,1.3862943611198906,2.4849066497880004,0.3293037471426004,0.915068493150685
Central Region,Geylang,1.31435,103.88617,2.0,169,1.3862943611198906,2.995732273553991,0.2468600779315258,0.9095890410958904
East Region,Tampines,1.34566,103.95994,1.0,90,0.6931471805599453,2.302585092994046,0.13976194237515868,0.989041095890411
Central Region,Tanglin,1.31742,103.82572,2.0,160,2.0794415416798357,3.2188758248682006,0.30010459245033805,1.0
East Region,Bedok,1.31993,103.92342,1.0,90,1.0986122886681096,0.0,0.0,1.0
Central Region,Outram,1.2819,103.83849,1.0,50,1.9459101490553132,1.9459101490553132,0.08617769624105233,0.14794520547945206
East Region,Tampines,1.34574,103.95945,1.0,260,0.6931471805599453,1.6094379124341003,0.1310282624064041,0.9780821917808219
Central Region,Singapore River,1.28968,103.84632,2.0,219,1.3862943611198906,2.4849066497880004,0.4510756193602167,0.852054794520548
North-East Region,Ang Mo Kio,1.36724,103.84722,1.0,44,3.091042453358316,0.0,0.0,0.0
Central Region,Geylang,1.31539,103.88257,1.0,40,2.9444389791664403,0.6931471805599453,0.0295588022415444,0.9671232876712329
Central Region,Toa Payoh,1.3377,103.88248,2.0,140,1.791759469228055,1.0986122886681096,0.04879016416943201,0.0
East Region,Bedok,1.31963,103.924,1.0,94,1.3862943611198906,0.0,0.0,1.0
Central Region,Downtown Core,1.27365,103.84354,2.0,240,1.791759469228055,2.1972245773362196,0.11332868530700317,0.0
Central Region,Novena,1.32359,103.85063,1.0,360,3.4339872044851463,1.0986122886681096,0.0295588022415444,0.473972602739726
West Region,Choa Chu Kang,1.38768,103.74476,2.0,118,2.3978952727983707,0.0,0.0,0.8054794520547945
Central Region,Toa Payoh,1.33903,103.88474,1.0,60,1.3862943611198906,3.912023005428146,0.5709795465857378,0.9452054794520548
West Region,Choa Chu Kang,1.38686,103.74468,1.0,64,1.6094379124341003,3.4011973816621555,0.35065687161316933,0.06301369863013699
West Region,Bukit Panjang,1.34891,103.77137,1.0,69,0.6931471805599453,2.0794415416798357,0.1310282624064041,0.9972602739726028
Central Region,Kallang,1.31609,103.85813,1.0,99,0.6931471805599453,2.1972245773362196,0.16551443847757338,0.9808219178082191
Central Region,Novena,1.31642,103.8398,2.0,89,1.0986122886681096,2.0794415416798357,0.16551443847757338,0.0
Central Region,Novena,1.32423,103.85293,1.0,281,1.3862943611198906,3.091042453358316,0.3074846997479606,0.4931506849315069
West Region,Choa Chu Kang,1.38602,103.74316,1.0,32,1.3862943611198906,4.110873864173311,0.636576829071551,0.0
North-East Region,Hougang,1.36867,103.89905,1.0,50,1.6094379124341003,2.0794415416798357,0.11332868530700317,0.915068493150685
Central Region,Outram,1.28388,103.84398,1.0,50,3.367295829986474,1.0986122886681096,0.039220713153281295,0.9123287671232877
Central Region,Kallang,1.31196,103.85962,1.0,342,0.6931471805599453,3.1780538303479458,0.30010459245033805,0.9780821917808219
Central Region,Kallang,1.29907,103.87601,1.0,58,2.0794415416798357,3.970291913552122,0.5709795465857378,0.0
Central Region,Kallang,1.31193,103.85952,1.0,253,0.6931471805599453,1.0986122886681096,0.039220713153281295,0.9753424657534246
Central Region,Kallang,1.31254,103.85963,1.0,303,0.6931471805599453,3.8918202981106265,0.5709795465857378,0.9808219178082191
Central Region,Kallang,1.31201,103.85971,1.0,54,1.0986122886681096,3.4011973816621555,0.688134638736401,0.9808219178082191
Central Region,Kallang,1.31215,103.85982,1.0,135,0.6931471805599453,3.9318256327243257,0.7178397931503169,0.9863013698630138
Central Region,Kallang,1.31125,103.86083,1.0,54,1.0986122886681096,1.9459101490553132,0.12221763272424921,0.9945205479452055
Central Region,Bukit Timah,1.33746,103.78052,2.0,119,1.0986122886681096,1.3862943611198906,0.09531017980432487,0.3232876712328767
Central Region,Museum,1.2942,103.84283,2.0,108,1.3862943611198906,3.4657359027997265,0.3852624007906449,0.9260273972602739
Central Region,Toa Payoh,1.33792,103.88593,1.0,60,1.3862943611198906,4.060443010546419,0.6312717768418579,0.9589041095890412
Central Region,Outram,1.28409,103.84514,1.0,67,0.6931471805599453,2.995732273553991,0.2546422183735807,0.0
Central Region,Bukit Merah,1.27819,103.83072,1.0,119,1.0986122886681096,0.6931471805599453,0.11332868530700317,1.0
Central Region,Kallang,1.31138,103.86104,1.0,36,3.367295829986474,0.6931471805599453,0.06765864847381481,0.9068493150684932
Central Region,Novena,1.31626,103.84444,1.0,81,1.9459101490553132,3.784189633918261,0.5007752879124893,0.589041095890411
Central Region,Queenstown,1.30699,103.80159,0.0,69,0.6931471805599453,0.0,0.0,1.0
East Region,Bedok,1.32823,103.94835,1.0,56,1.3862943611198906,3.091042453358316,0.30010459245033805,0.2
Central Region,Kallang,1.31254,103.85068,2.0,200,1.6094379124341003,3.2188758248682006,0.33647223662121295,0.09041095890410959
Central Region,River Valley,1.29519,103.84185,2.0,150,2.70805020110221,2.0794415416798357,0.10436001532424277,0.04657534246575343
Central Region,Geylang,1.31566,103.8859,2.0,90,0.6931471805599453,3.970291913552122,0.598836501088704,0.12328767123287672
Central Region,Geylang,1.31531,103.88561,2.0,93,1.791759469228055,3.8066624897703196,0.5187937934151676,0.2
Central Region,Queenstown,1.28132,103.7854,1.0,49,0.6931471805599453,2.1972245773362196,0.16551443847757338,0.9589041095890412
Central Region,Bukit Merah,1.28376,103.83082,2.0,139,1.0986122886681096,2.8903717578961645,0.2468600779315258,0.9260273972602739
Central Region,Kallang,1.31047,103.86096,0.0,35,0.6931471805599453,2.995732273553991,0.27002713721306015,0.0
North-East Region,Hougang,1.36103,103.88356,1.0,83,0.6931471805599453,2.302585092994046,0.13976194237515868,0.9972602739726028
Central Region,Toa Payoh,1.33967,103.86901,2.0,228,4.110873864173311,1.9459101490553132,0.10436001532424277,1.0
Central Region,Bukit Merah,1.27811,103.83379,2.0,254,2.0794415416798357,1.6094379124341003,0.058268908123975775,0.0
Central Region,Kallang,1.29575,103.86549,2.0,275,1.3862943611198906,0.0,0.0,0.0
Central Region,Geylang,1.31601,103.88579,2.0,92,0.6931471805599453,4.1588830833596715,0.688134638736401,0.21095890410958903
Central Region,Kallang,1.31239,103.85201,2.0,300,1.0986122886681096,1.3862943611198906,0.04879016416943201,0.0
Central Region,Kallang,1.31619,103.85983,1.0,137,0.6931471805599453,3.4657359027997265,0.5128236264286637,1.0
Central Region,Kallang,1.31472,103.86022,0.0,44,0.6931471805599453,1.791759469228055,0.07696104113612832,1.0
Central Region,Kallang,1.31437,103.86017,1.0,60,0.6931471805599453,1.0986122886681096,0.07696104113612832,0.936986301369863
Central Region,Geylang,1.31393,103.88749,2.0,85,1.791759469228055,4.143134726391533,0.7561219797213337,0.23013698630136986
Central Region,Kallang,1.31086,103.85883,0.0,37,0.6931471805599453,2.9444389791664403,0.2468600779315258,0.0
Central Region,Kallang,1.30997,103.86052,1.0,150,0.6931471805599453,0.0,0.0,0.0
Central Region,Outram,1.28362,103.84552,2.0,131,1.0986122886681096,3.970291913552122,0.708035793053696,0.9726027397260274
Central Region,Outram,1.28216,103.84714,1.0,200,2.3978952727983707,2.8903717578961645,0.23901690047049992,1.0
Central Region,Geylang,1.31562,103.88586,2.0,85,4.110873864173311,3.7376696182833684,0.5068176023684519,0.07123287671232877
Central Region,River Valley,1.29508,103.84085,2.0,181,1.791759469228055,1.0986122886681096,0.0295588022415444,0.0
Central Region,Bukit Merah,1.28667,103.82935,1.0,81,0.6931471805599453,0.0,0.0,0.0
North-East Region,Ang Mo Kio,1.37398,103.83069,1.0,110,1.0986122886681096,3.784189633918261,0.5306282510621704,0.9726027397260274
Central Region,Geylang,1.31228,103.89521,2.0,200,3.4339872044851463,3.1354942159291497,0.30010459245033805,0.9643835616438357
Central Region,Marine Parade,1.30287,103.9005,2.0,250,1.6094379124341003,0.0,0.0,0.0
North-East Region,Ang Mo Kio,1.37664,103.85238,1.0,221,0.6931471805599453,0.0,0.0,0.0
North-East Region,Hougang,1.36719,103.89234,1.0,86,2.3978952727983707,1.0986122886681096,0.039220713153281295,0.24383561643835616
Central Region,Singapore River,1.28955,103.83861,2.0,206,1.0986122886681096,2.9444389791664403,0.2546422183735807,0.0
Central Region,Bukit Timah,1.3319,103.76533,2.0,150,1.0986122886681096,3.7376696182833684,0.5247285289349821,0.0684931506849315
Central Region,Newton,1.31122,103.84108,2.0,179,2.0794415416798357,0.0,0.0,0.0
Central Region,Geylang,1.31492,103.88801,2.0,89,1.6094379124341003,3.713572066704308,0.5068176023684519,0.36712328767123287
Central Region,Outram,1.28262,103.84487,0.0,31,0.6931471805599453,2.9444389791664403,0.26236426446749106,1.0
Central Region,Outram,1.28354,103.84331,1.0,140,1.0986122886681096,3.8918202981106265,0.598836501088704,0.4602739726027397
Central Region,Geylang,1.3155,103.88596,2.0,85,3.4339872044851463,4.0943445622221,0.6729444732424258,0.2356164383561644
West Region,Clementi,1.29798,103.7668,1.0,44,1.0986122886681096,1.3862943611198906,0.058268908123975775,0.0
Central Region,Geylang,1.31379,103.88577,2.0,93,0.6931471805599453,3.258096538021482,0.35065687161316933,0.23013698630136986
Central Region,Rochor,1.30376,103.85923,1.0,58,0.6931471805599453,3.044522437723423,0.36464311358790924,0.6383561643835617
Central Region,Rochor,1.30171,103.85959,1.0,90,0.6931471805599453,1.9459101490553132,0.09531017980432487,0.6383561643835617
Central Region,River Valley,1.29597,103.8382,2.0,137,0.6931471805599453,4.1588830833596715,0.708035793053696,0.9232876712328767
West Region,Jurong West,1.34187,103.71115,1.0,50,1.0986122886681096,0.0,0.0,0.0
Central Region,Tanglin,1.32045,103.82116,2.0,237,1.3862943611198906,4.127134385045092,0.6981347220709844,0.09863013698630137
Central Region,Geylang,1.31565,103.88576,2.0,94,0.6931471805599453,4.127134385045092,0.6931471805599453,0.21095890410958903
West Region,Bukit Panjang,1.3471,103.77532,2.0,158,2.5649493574615367,3.9889840465642745,0.6312717768418579,0.3780821917808219
North-East Region,Ang Mo Kio,1.37478,103.83141,1.0,135,1.0986122886681096,3.295836866004329,0.3576744442718159,0.9863013698630138
North-East Region,Ang Mo Kio,1.37326,103.82962,1.0,125,1.0986122886681096,2.9444389791664403,0.26236426446749106,0.9808219178082191
Central Region,Bukit Merah,1.29002,103.82315,1.0,65,0.6931471805599453,1.791759469228055,0.08617769624105233,0.0
Central Region,Geylang,1.31462,103.89173,1.0,69,2.70805020110221,0.0,0.0,0.0
Central Region,Orchard,1.30459,103.82464,1.0,122,0.6931471805599453,0.6931471805599453,0.12221763272424921,0.989041095890411
West Region,Bukit Batok,1.34779,103.7442,1.0,156,0.6931471805599453,0.0,0.0,1.0
Central Region,Rochor,1.30148,103.85813,1.0,58,0.6931471805599453,3.367295829986474,0.3852624007906449,0.6383561643835617
East Region,Bedok,1.31808,103.90582,1.0,78,0.6931471805599453,0.6931471805599453,0.019802627296179712,0.9917808219178083
Central Region,Geylang,1.3137,103.88765,2.0,90,2.3978952727983707,3.713572066704308,0.5187937934151676,0.010958904109589041
Central Region,Rochor,1.30348,103.85969,1.0,58,0.6931471805599453,2.3978952727983707,0.18232155679395462,0.6383561643835617
West Region,Jurong East,1.33856,103.73562,1.0,65,0.6931471805599453,3.5553480614894135,0.6523251860396903,0.9013698630136986
Central Region,Geylang,1.31633,103.88539,2.0,90,1.6094379124341003,3.912023005428146,0.6043159668533296,0.17534246575342466
Central Region,Kallang,1.31288,103.85969,1.0,62,0.6931471805599453,3.091042453358316,0.5068176023684519,0.9808219178082191
Central Region,Novena,1.32772,103.85239,2.0,358,2.0794415416798357,3.4965075614664802,0.43178241642553783,0.7534246575342466
Central Region,Bukit Timah,1.31995,103.79426,2.0,160,1.791759469228055,2.1972245773362196,0.18232155679395462,0.18904109589041096
Central Region,Geylang,1.31444,103.88709,2.0,85,1.791759469228055,3.7376696182833684,0.5822156198526637,0.336986301369863
Central Region,Tanglin,1.31539,103.82586,2.0,281,2.0794415416798357,3.4011973816621555,0.3920420877760237,0.9917808219178083
Central Region,Geylang,1.31131,103.88343,1.0,60,0.6931471805599453,3.8712010109078907,0.5877866649021191,0.947945205479452
Central Region,Outram,1.28278,103.8445,0.0,31,0.6931471805599453,3.8066624897703196,0.5709795465857378,0.9945205479452055
Central Region,Outram,1.28332,103.8433,0.0,31,0.6931471805599453,2.9444389791664403,0.27002713721306015,1.0
Central Region,Singapore River,1.29088,103.83891,1.0,115,1.0986122886681096,0.0,0.0,0.0
Central Region,Novena,1.31718,103.84287,1.0,89,1.0986122886681096,2.639057329615259,0.1988508587451652,0.9726027397260274
West Region,Jurong West,1.34546,103.72309,2.0,268,1.791759469228055,1.6094379124341003,0.06765864847381481,1.0
Central Region,Novena,1.32419,103.85284,2.0,237,1.791759469228055,3.295836866004329,0.36464311358790924,0.715068493150685
Central Region,Tanglin,1.31566,103.82666,2.0,118,2.0794415416798357,3.8918202981106265,0.5933268452777344,0.9534246575342465
West Region,Jurong East,1.33678,103.73758,1.0,79,1.791759469228055,2.3978952727983707,0.15700374880966475,0.9534246575342465
West Region,Jurong East,1.33669,103.7374,2.0,258,1.791759469228055,2.70805020110221,0.2851789422336624,0.9534246575342465
Central Region,Marine Parade,1.30789,103.89646,2.0,164,2.70805020110221,1.6094379124341003,0.06765864847381481,0.0
West Region,Jurong West,1.34702,103.72274,1.0,62,1.3862943611198906,1.3862943611198906,0.04879016416943201,1.0
West Region,Jurong West,1.34615,103.72261,1.0,62,1.3862943611198906,0.6931471805599453,0.019802627296179712,1.0
Central Region,Bukit Timah,1.33347,103.78634,2.0,208,0.6931471805599453,0.0,0.0,0.0
Central Region,Geylang,1.31503,103.88605,2.0,94,0.6931471805599453,4.02535169073515,0.6678293725756554,0.18904109589041096
West Region,Jurong East,1.34746,103.73203,1.0,28,0.6931471805599453,0.0,0.0,0.0
Central Region,Kallang,1.32712,103.86468,2.0,131,1.3862943611198906,3.6109179126442243,0.48858001481867097,0.9315068493150686
Central Region,Bukit Merah,1.27303,103.82783,1.0,89,2.3978952727983707,0.6931471805599453,0.04879016416943201,0.0
Central Region,Toa Payoh,1.33078,103.86782,2.0,219,0.6931471805599453,0.0,0.0,0.0
Central Region,Rochor,1.30115,103.8479,2.0,224,1.791759469228055,0.0,0.0,0.0
Central Region,Newton,1.30475,103.84032,1.0,99,1.3862943611198906,1.9459101490553132,0.10436001532424277,0.9972602739726028
East Region,Bedok,1.31467,103.93974,2.0,137,0.6931471805599453,3.58351893845611,0.4700036292457356,0.9561643835616438
Central Region,Outram,1.28142,103.84522,2.0,250,0.6931471805599453,1.0986122886681096,0.039220713153281295,0.0
Central Region,Novena,1.32546,103.8519,2.0,149,1.3862943611198906,3.367295829986474,0.3987761199573678,0.7041095890410959
Central Region,Geylang,1.31473,103.88733,2.0,92,2.0794415416798357,3.5263605246161616,0.4824261492442927,0.13424657534246576
North-East Region,Serangoon,1.34432,103.86255,1.0,78,0.6931471805599453,3.7612001156935624,0.5481214085096876,0.7315068493150685
Central Region,Tanglin,1.31652,103.82739,2.0,240,2.0794415416798357,2.772588722239781,0.23111172096338664,0.9013698630136986
North-East Region,Sengkang,1.39042,103.90796,1.0,108,1.0986122886681096,0.0,0.0,0.9808219178082191
Central Region,Bukit Merah,1.27804,103.80806,2.0,81,0.6931471805599453,0.0,0.0,0.0
North-East Region,Serangoon,1.3448,103.86144,1.0,67,1.3862943611198906,3.7612001156935624,0.5423242908253616,0.1095890410958904
East Region,Bedok,1.32899,103.94787,1.0,119,1.3862943611198906,3.6888794541139363,0.5128236264286637,0.2136986301369863
North-East Region,Serangoon,1.38785,103.8694,2.0,81,4.442651256490317,2.302585092994046,0.14842000511827327,0.2410958904109589
Central Region,Downtown Core,1.29561,103.8543,2.0,181,2.0794415416798357,3.713572066704308,0.5247285289349821,0.9808219178082191
Central Region,Geylang,1.31017,103.88253,1.0,60,0.6931471805599453,3.912023005428146,0.6151856390902335,0.8328767123287671
Central Region,Bukit Merah,1.2843,103.83254,2.0,181,1.0986122886681096,2.70805020110221,0.22314355131420976,0.0
Central Region,Kallang,1.30706,103.86326,1.0,131,3.4339872044851463,1.9459101490553132,0.10436001532424277,1.0
Central Region,Novena,1.3218,103.84266,1.0,69,0.6931471805599453,2.772588722239781,0.23111172096338664,0.5780821917808219
Central Region,Geylang,1.31528,103.88817,2.0,87,1.791759469228055,2.995732273553991,0.2851789422336624,0.20273972602739726
Central Region,Novena,1.3258,103.85426,2.0,201,1.3862943611198906,2.302585092994046,0.14842000511827327,0.7534246575342466
Central Region,Toa Payoh,1.34151,103.84163,1.0,75,1.3862943611198906,2.772588722239781,0.30010459245033805,0.7013698630136986
West Region,Bukit Panjang,1.34713,103.77272,1.0,50,0.6931471805599453,1.6094379124341003,0.12221763272424921,0.9178082191780822
Central Region,Geylang,1.30972,103.88266,1.0,60,0.6931471805599453,4.1588830833596715,0.7371640659767197,0.9534246575342465
Central Region,River Valley,1.29702,103.84145,1.0,119,1.0986122886681096,0.6931471805599453,0.019802627296179712,0.0
Central Region,Geylang,1.31368,103.88597,2.0,85,1.6094379124341003,3.912023005428146,0.636576829071551,0.18356164383561643
North Region,Woodlands,1.42798,103.78508,2.0,165,3.4339872044851463,1.791759469228055,0.09531017980432487,1.0
East Region,Bedok,1.31387,103.93484,2.0,168,1.6094379124341003,1.3862943611198906,0.04879016416943201,0.8328767123287671
Central Region,Queenstown,1.30489,103.78451,1.0,81,0.6931471805599453,1.0986122886681096,0.039220713153281295,0.0
Central Region,River Valley,1.29238,103.83978,2.0,287,1.6094379124341003,1.3862943611198906,0.04879016416943201,0.0
Central Region,Geylang,1.31307,103.88623,2.0,119,2.3978952727983707,3.1780538303479458,0.33647223662121295,0.2410958904109589
Central Region,Geylang,1.32962,103.88684,1.0,49,0.6931471805599453,0.0,0.0,0.0
Central Region,River Valley,1.29887,103.83603,1.0,146,0.6931471805599453,0.0,0.0,1.0
Central Region,Geylang,1.31102,103.88139,1.0,60,0.6931471805599453,3.6109179126442243,0.48858001481867097,1.0
Central Region,Geylang,1.3096,103.88166,1.0,60,0.6931471805599453,4.060443010546419,0.688134638736401,0.9643835616438357
Central Region,Geylang,1.31045,103.88148,1.0,60,0.6931471805599453,3.6888794541139363,0.5247285289349821,0.9671232876712329
Central Region,Tanglin,1.31761,103.8264,2.0,319,2.0794415416798357,2.9444389791664403,0.2776317365982795,0.9753424657534246
West Region,Clementi,1.29882,103.76499,2.0,181,1.0986122886681096,1.0986122886681096,0.039220713153281295,0.0
North-East Region,Ang Mo Kio,1.36573,103.83874,1.0,56,2.70805020110221,1.0986122886681096,0.039220713153281295,0.2410958904109589
Central Region,Queenstown,1.30008,103.79455,2.0,269,1.791759469228055,0.6931471805599453,0.019802627296179712,0.0
East Region,Pasir Ris,1.36687,103.95896,2.0,250,1.6094379124341003,0.0,0.0,0.0
Central Region,Marine Parade,1.29704,103.8886,2.0,215,1.6094379124341003,1.791759469228055,0.08617769624105233,0.0
West Region,Jurong West,1.34294,103.71752,1.0,50,1.3862943611198906,0.6931471805599453,0.0295588022415444,0.9917808219178083
West Region,Jurong West,1.34147,103.71788,1.0,75,0.6931471805599453,0.6931471805599453,0.019802627296179712,1.0
Central Region,Newton,1.30479,103.83518,2.0,281,1.0986122886681096,3.091042453358316,0.3435897043900769,0.9808219178082191
West Region,Clementi,1.3311,103.76794,1.0,99,1.791759469228055,1.9459101490553132,0.26236426446749106,0.7780821917808219
Central Region,Bukit Timah,1.33108,103.76853,1.0,78,1.791759469228055,3.332204510175204,0.43178241642553783,0.8410958904109589
Central Region,Bukit Timah,1.33179,103.7664,1.0,87,1.791759469228055,2.9444389791664403,0.3074846997479606,0.736986301369863
Central Region,Orchard,1.30352,103.83483,2.0,319,0.6931471805599453,2.639057329615259,0.23901690047049992,0.9808219178082191
Central Region,Downtown Core,1.27414,103.84596,2.0,200,4.2626798770413155,1.3862943611198906,0.058268908123975775,0.9972602739726028
Central Region,Geylang,1.31481,103.88611,2.0,119,2.70805020110221,2.995732273553991,0.30010459245033805,0.24383561643835616
Central Region,Orchard,1.3069,103.83188,1.0,125,0.6931471805599453,0.0,0.0,0.0
Central Region,Bishan,1.35418,103.8336,1.0,60,0.6931471805599453,1.3862943611198906,0.20701416938432615,0.9753424657534246
Central Region,Kallang,1.31536,103.86045,1.0,150,0.6931471805599453,0.0,0.0,0.9972602739726028
Central Region,Outram,1.28508,103.84292,0.0,25,1.0986122886681096,0.0,0.0,0.0
North-East Region,Hougang,1.349,103.88105,1.0,35,2.3978952727983707,1.9459101490553132,0.15700374880966475,1.0
Central Region,River Valley,1.29582,103.84221,2.0,119,3.367295829986474,1.9459101490553132,0.11332868530700317,0.136986301369863
Central Region,Tanglin,1.31671,103.82831,2.0,144,2.0794415416798357,2.9444389791664403,0.2851789422336624,0.0
Central Region,Geylang,1.31091,103.88131,1.0,60,0.6931471805599453,4.1588830833596715,0.7514160886839212,0.936986301369863
